FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
40610,Boulenger's Skink,Morethia boulengeri,18/11/2013,149.105,-35.3929,1,10,GDA94,ACT Wildlife Atlas,"(-35.3929, 149.105)"
40611,Boulenger's Skink,Morethia boulengeri,22/11/2012,149.18,-35.1821,1,10,GDA94,ACT Wildlife Atlas,"(-35.1821, 149.18)"
40612,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.143,-35.3567,1,10,GDA94,ACT Wildlife Atlas,"(-35.3567, 149.143)"
40613,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.143,-35.3567,1,10,GDA94,ACT Wildlife Atlas,"(-35.3567, 149.143)"
40614,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.183,-35.2018,1,10,GDA94,ACT Wildlife Atlas,"(-35.2018, 149.183)"
40615,Boulenger's Skink,Morethia boulengeri,13/11/2013,149.129,-35.2232,1,10,GDA94,ACT Wildlife Atlas,"(-35.2232, 149.129)"
39243,Boulenger's Skink,Morethia boulengeri,31/10/2013,149.185,-35.1861,1,10,GDA94,ACT Wildlife Atlas,"(-35.1861, 149.185)"
39244,Boulenger's Skink,Morethia boulengeri,12/07/2012,149.171,-35.1883,1,10,GDA94,ACT Wildlife Atlas,"(-35.1883, 149.171)"
39245,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.142,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.142)"
39246,Boulenger's Skink,Morethia boulengeri,23/10/2013,149.255,-35.4236,1,10,GDA94,ACT Wildlife Atlas,"(-35.4236, 149.255)"
39247,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.138,-35.3555,1,10,GDA94,ACT Wildlife Atlas,"(-35.3555, 149.138)"
39248,Boulenger's Skink,Morethia boulengeri,18/11/2013,149.105,-35.3929,1,10,GDA94,ACT Wildlife Atlas,"(-35.3929, 149.105)"
39249,Boulenger's Skink,Morethia boulengeri,22/11/2012,149.18,-35.1821,1,10,GDA94,ACT Wildlife Atlas,"(-35.1821, 149.18)"
39250,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.143,-35.3567,1,10,GDA94,ACT Wildlife Atlas,"(-35.3567, 149.143)"
39251,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.143,-35.3567,1,10,GDA94,ACT Wildlife Atlas,"(-35.3567, 149.143)"
39387,House Mouse,Mus musculus,12/05/2013,149.181,-35.3709,1,10,GDA94,ACT Wildlife Atlas,"(-35.3709, 149.181)"
39388,Common Dunnart,Sminthopsis murina,11/06/2013,149.181,-35.3709,1,10,GDA94,ACT Wildlife Atlas,"(-35.3709, 149.181)"
39389,Plains Froglet,Crinia parinsignifera,15/11/2013,149.166,-35.1732,1,10,GDA94,ACT Wildlife Atlas,"(-35.1732, 149.166)"
39390,Spotted Grass Frog,Limnodynastes tasmaniensis,15/11/2013,149.183,-35.166,1,10,GDA94,ACT Wildlife Atlas,"(-35.166, 149.183)"
39391,Smooth Toadlet,Uperoleia laevigata,10/03/2013,149.142,-35.1914,1,10,GDA94,ACT Wildlife Atlas,"(-35.1914, 149.142)"
39392,Plains Froglet,Crinia parinsignifera,9/03/2013,149.166,-35.1741,1,10,GDA94,ACT Wildlife Atlas,"(-35.1741, 149.166)"
39393,Plains Froglet,Crinia parinsignifera,22/10/2013,149.166,-35.1741,1,10,GDA94,ACT Wildlife Atlas,"(-35.1741, 149.166)"
39394,Plains Froglet,Crinia parinsignifera,15/11/2013,149.166,-35.1741,1,10,GDA94,ACT Wildlife Atlas,"(-35.1741, 149.166)"
40472,Delicate Skink,Lampropholis delicata,13/11/2013,149.175,-35.183,1,10,GDA94,ACT Wildlife Atlas,"(-35.183, 149.175)"
40473,Delicate Skink,Lampropholis delicata,13/11/2013,149.18,-35.3779,1,10,GDA94,ACT Wildlife Atlas,"(-35.3779, 149.18)"
40474,Delicate Skink,Lampropholis delicata,12/07/2012,149.186,-35.1858,1,10,GDA94,ACT Wildlife Atlas,"(-35.1858, 149.186)"
40475,Delicate Skink,Lampropholis delicata,9/03/2013,149.166,-35.1736,1,10,GDA94,ACT Wildlife Atlas,"(-35.1736, 149.166)"
40476,Delicate Skink,Lampropholis delicata,22/10/2013,149.145,-35.2064,1,10,GDA94,ACT Wildlife Atlas,"(-35.2064, 149.145)"
40477,Delicate Skink,Lampropholis delicata,15/11/2013,149.176,-35.187,1,10,GDA94,ACT Wildlife Atlas,"(-35.187, 149.176)"
40478,Delicate Skink,Lampropholis delicata,15/11/2013,149.166,-35.1736,1,10,GDA94,ACT Wildlife Atlas,"(-35.1736, 149.166)"
40479,Delicate Skink,Lampropholis delicata,16/11/2012,149.176,-35.1872,1,10,GDA94,ACT Wildlife Atlas,"(-35.1872, 149.176)"
40480,Delicate Skink,Lampropholis delicata,16/11/2012,149.177,-35.1644,1,10,GDA94,ACT Wildlife Atlas,"(-35.1644, 149.177)"
40616,Boulenger's Skink,Morethia boulengeri,11/08/2013,149.11,-35.3951,1,10,GDA94,ACT Wildlife Atlas,"(-35.3951, 149.11)"
40617,Boulenger's Skink,Morethia boulengeri,12/06/2012,149.143,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.143)"
40618,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.143,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.143)"
40619,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.145,-35.3622,1,10,GDA94,ACT Wildlife Atlas,"(-35.3622, 149.145)"
40620,Boulenger's Skink,Morethia boulengeri,31/10/2013,149.185,-35.1858,1,10,GDA94,ACT Wildlife Atlas,"(-35.1858, 149.185)"
40621,Boulenger's Skink,Morethia boulengeri,13/11/2013,149.175,-35.187,1,10,GDA94,ACT Wildlife Atlas,"(-35.187, 149.175)"
