suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
REID,10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.279963553045555, 149.14567401408857
CITY,,,NONE,,-35.27948007500722, 149.13236189679424
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.29106776345324, 149.14629941074023
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.282278114427804, 149.13965392064912
BRADDON,10.5 metres,ALUMINIUM,3.0,LIGHT EMITTING DIODE,-35.27145688153407, 149.1329568706714
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.282660118760916, 149.1413441081699
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.260149043304196, 149.12946324706436
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.285146564113205, 149.14184471275146
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26428363806496, 149.14083373378105
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.290463209448156, 149.1263393045194
CITY,,,NONE,,-35.27928057105207, 149.13284256034035
ACTON,,,,LIGHT EMITTING DIODE,-35.29083912055907, 149.12629455580029
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.261747248487524, 149.13432487181035
TURNER,6.5 metres,STEEL ORDINARY,0.15,COMPACT FLUORESCENT,-35.27213841569792, 149.12581125861448
CITY,10.5 metres,STEEL ORDINARY,3.7,METAL HALIDE,-35.28206351410148, 149.12521046093747
CAMPBELL,12 metres,CONCRETE COLUMN,3.7,MERCURY VAPOUR,-35.290259225070635, 149.14263875142842
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.279335297841044, 149.0868091733106
ACTON,,,,,-35.290191358329025, 149.12625126748136
REID,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.279664200230236, 149.13778741891244
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.2831283995059, 149.14208242783297
WATSON,9 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.22939873142576, 149.1645266890639
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.250316827700736, 149.13654345904703
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.29035420488311, 149.12632891932586
BRADDON,10.5 metres,ALUMINIUM,3.0,LIGHT EMITTING DIODE,-35.27166187926816, 149.1329247717156
LYNEHAM,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.242114401644145, 149.12270083975207
CAMPBELL,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.303969359370754, 149.16555661390603
CITY,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.276252997343875, 149.13296686083393
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.272576016522464, 149.12680770946113
